"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"React escapes the payload into harmless text — no <script>, <img>, or <svg> nodes are injected.","12850","addTodo_xssPayload_renderedAsPlainText[0: payload=[<script>alert(1)</script>]]","","2026-06-26","passed","2026-06-26","","com.todomvc.tests.XssEscapingTest","com.todomvc.tests.XssEscapingTest","addTodo_xssPayload_renderedAsPlainText[0: payload=[<script>alert(1)</script>]]"
"React escapes the payload into harmless text — no <script>, <img>, or <svg> nodes are injected.","12850","addTodo_xssPayload_renderedAsPlainText[1: payload=[<img src=x onerror=alert(1)>]]","","2026-06-26","passed","2026-06-26","","com.todomvc.tests.XssEscapingTest","com.todomvc.tests.XssEscapingTest","addTodo_xssPayload_renderedAsPlainText[1: payload=[<img src=x onerror=alert(1)>]]"
"Pressing Enter while editing commits the new value and leaves edit mode.","1061","edit_enter_savesNewText","","2026-06-26","passed","2026-06-26","","com.todomvc.tests.EditTodoTest","com.todomvc.tests.EditTodoTest","edit_enter_savesNewText"
"Clicking the destroy button removes the todo; when the list empties, main and footer hide.","695","destroy_removesTodoFromList","","2026-06-26","passed","2026-06-26","","com.todomvc.tests.DeleteTodoTest","com.todomvc.tests.DeleteTodoTest","destroy_removesTodoFromList"
"Counter text correctly pluralises 'item'/'items' for 1, multiple and zero active todos.","678","counter_showsCorrectPluralization","","2026-06-26","passed","2026-06-26","","com.todomvc.tests.CounterTest","com.todomvc.tests.CounterTest","counter_showsCorrectPluralization"
"'Active' shows only non-completed todos and updates the URL and the selected link.","563","activeFilter_showsOnlyActiveTodos","","2026-06-26","passed","2026-06-26","","com.todomvc.tests.FilterTodoTest","com.todomvc.tests.FilterTodoTest","activeFilter_showsOnlyActiveTodos"
"Saving an empty edit deletes the todo.","387","edit_toEmpty_deletesTodo","","2026-06-26","passed","2026-06-26","","com.todomvc.tests.EditTodoTest","com.todomvc.tests.EditTodoTest","edit_toEmpty_deletesTodo"
"Toggle-all marks every todo completed; a second click flips them all back to active.","641","toggleAll_marksAllCompleted_thenAllActive","","2026-06-26","passed","2026-06-26","","com.todomvc.tests.ToggleAllTest","com.todomvc.tests.ToggleAllTest","toggleAll_marksAllCompleted_thenAllActive"
"Double-click on the todo label puts it in edit mode: the input is visible, focused and pre-filled.","530","doubleClick_activatesEditMode","","2026-06-26","passed","2026-06-26","","com.todomvc.tests.EditTodoTest","com.todomvc.tests.EditTodoTest","doubleClick_activatesEditMode"
"Double-clicking the destroy button deletes the todo without ever entering edit mode.","688","doubleClick_onDestroyButton_doesNotActivateEdit","","2026-06-26","passed","2026-06-26","","com.todomvc.tests.EditTodoTest","com.todomvc.tests.EditTodoTest","doubleClick_onDestroyButton_doesNotActivateEdit"
"Unicode and emoji round-trip unchanged — Cyrillic + emoji + CJK in one title.","326","addTodo_unicodeAndEmoji_renderedAsIs","","2026-06-26","passed","2026-06-26","","com.todomvc.tests.CreateTodoTest","com.todomvc.tests.CreateTodoTest","addTodo_unicodeAndEmoji_renderedAsIs"
"Toggling a completed todo brings it back to the active state and the counter rises again.","687","toggle_completedTodo_marksActive","","2026-06-26","passed","2026-06-26","","com.todomvc.tests.ToggleTodoTest","com.todomvc.tests.ToggleTodoTest","toggle_completedTodo_marksActive"
"Double-clicking on the toggle checkbox must not enter edit mode.","506","doubleClick_onToggleCheckbox_doesNotActivateEdit","","2026-06-26","passed","2026-06-26","","com.todomvc.tests.EditTodoTest","com.todomvc.tests.EditTodoTest","doubleClick_onToggleCheckbox_doesNotActivateEdit"
"Leading and trailing whitespace is stripped before the todo is saved.","274","addTodo_trimsLeadingTrailingWhitespace","","2026-06-26","passed","2026-06-26","","com.todomvc.tests.CreateTodoTest","com.todomvc.tests.CreateTodoTest","addTodo_trimsLeadingTrailingWhitespace"
"React escapes the payload into harmless text — no <script>, <img>, or <svg> nodes are injected.","12849","addTodo_xssPayload_renderedAsPlainText[3: payload=[<svg/onload=alert(1)>]]","","2026-06-26","passed","2026-06-26","","com.todomvc.tests.XssEscapingTest","com.todomvc.tests.XssEscapingTest","addTodo_xssPayload_renderedAsPlainText[3: payload=[<svg/onload=alert(1)>]]"
